yolo_conf,svm_threshold,f2,recall,precision,f1
0.35,0.2,0.9404096834264432,0.9351851851851852,0.9619047619047619,0.9483568075117371
0.35,0.25,0.9366262814538676,0.9305555555555556,0.9617224880382775,0.9458823529411765
0.35,0.3,0.9328358208955224,0.9259259259259259,0.9615384615384616,0.9433962264150944
0.35,0.35,0.9252336448598131,0.9166666666666666,0.9611650485436893,0.9383886255924171
0.35,0.4,0.9176029962546817,0.9074074074074074,0.9607843137254902,0.9333333333333333
0.35,0.45,0.9146341463414634,0.9027777777777778,0.9653465346534653,0.9330143540669856
0.35,0.5,0.9107981220657277,0.8981481481481481,0.9651741293532339,0.9304556354916067
0.35,0.55,0.8876298394711992,0.8703703703703703,0.9641025641025641,0.9148418491484185
0.35,0.6,0.8876298394711992,0.8703703703703703,0.9641025641025641,0.9148418491484185
0.35,0.65,0.8854166666666666,0.8657407407407407,0.9739583333333334,0.9166666666666666
0.35,0.7,0.8753568030447193,0.8518518518518519,0.983957219251337,0.913151364764268
0.4,0.01,0.9328358208955224,0.9259259259259259,0.9615384615384616,0.9433962264150944
0.4,0.05,0.9328358208955224,0.9259259259259259,0.9615384615384616,0.9433962264150944
0.4,0.1,0.9328358208955224,0.9259259259259259,0.9615384615384616,0.9433962264150944
0.4,0.15,0.9328358208955224,0.9259259259259259,0.9615384615384616,0.9433962264150944
0.4,0.2,0.9328358208955224,0.9259259259259259,0.9615384615384616,0.9433962264150944
0.4,0.25,0.9290382819794585,0.9212962962962963,0.961352657004831,0.9408983451536643
0.4,0.3,0.9252336448598131,0.9166666666666666,0.9611650485436893,0.9383886255924171
0.4,0.35,0.9176029962546817,0.9074074074074074,0.9607843137254902,0.9333333333333333
0.4,0.4,0.9099437148217636,0.8981481481481481,0.9603960396039604,0.9282296650717703
0.4,0.45,0.9069548872180451,0.8935185185185185,0.965,0.9278846153846154
0.4,0.5,0.90310442144873,0.8888888888888888,0.964824120603015,0.9253012048192771
0.4,0.55,0.879848628192999,0.8611111111111112,0.9637305699481865,0.9095354523227384
0.4,0.6,0.879848628192999,0.8611111111111112,0.9637305699481865,0.9095354523227384
0.4,0.65,0.8776091081593927,0.8564814814814815,0.9736842105263158,0.9113300492610837
0.4,0.7,0.8674928503336511,0.8425925925925926,0.9837837837837838,0.9077306733167082
0.45,0.01,0.921421889616464,0.9120370370370371,0.9609756097560975,0.9358669833729216
0.45,0.05,0.921421889616464,0.9120370370370371,0.9609756097560975,0.9358669833729216
0.45,0.1,0.921421889616464,0.9120370370370371,0.9609756097560975,0.9358669833729216
